outflow1,outflow6
41.41,41.41
41.61,41.56
41.56,41.75
41.53,41.98
41.52,42.32
41.51,42.79
41.51,43.35
41.51,43.97
41.51,44.57
41.52,45.11
41.52,45.66
41.53,46.28
41.54,46.91
41.55,47.41
41.56,47.71
41.57,47.83
41.59,47.86
41.6,47.87
41.63,47.89
41.65,47.9
41.68,47.94
41.72,48.07
41.76,48.39
41.8,48.92
41.85,49.52
41.9,50.04
42.01,50.37
42.1,50.47
42.19,50.35
42.29,50.08
42.38,49.76
42.48,49.47
42.58,49.23
42.69,49.01
42.79,48.76
42.9,48.49
43.01,48.26
43.12,48.19
43.23,48.38
43.34,48.89
43.45,49.67
43.56,50.71
43.67,52.01
43.78,53.56
43.89,55.35
43.99,57.41
44.1,59.79
44.21,62.54
44.32,65.74
44.43,69.56
44.55,74.21
44.68,79.91
44.82,86.73
44.97,94.55
45.15,103.31
45.35,113.07
45.58,123.81
45.85,135.5
46.17,148.38
46.54,162.49
46.98,178
47.49,194.9
48.09,212.67
48.79,230.75
49.6,249.34
50.28,267.66
51.11,284.44
52.09,299.89
53.15,314.76
54.2,329.03
55.19,340.84
56.48,349.98
59.88,357.65
64.33,364.22
73.93,369.03
85.6,372.78
99.74,372.99
114.59,370.63
129.21,367.08
144.54,361.51
158.48,353.45
171.64,344.08
184.48,333.16
196.47,320.29
206.88,307.34
216.19,293.36
224.35,279.75
231.39,266.11
237.4,252.47
242.12,238.59
245.72,226.57
248.27,213.51
249.84,200.39
250.51,189.15
250.36,179.17
249.47,169.82
247.93,161.09
245.83,153
243.23,145.96
240.23,139.96
236.9,134.28
233.29,129.82
229.48,125.8
225.6,121.46
221.66,117.82
217.58,114.65
213.45,111.71
209.33,109.61
205.22,106.57
201.15,103.19
197.13,100.89
193.17,100.18
189.28,98.97
185.47,96.99
181.74,94.47
178.1,92.18
174.56,90.49
171.18,88.57
168.01,87.14
164.81,86.09
161.68,84.48
158.6,83
155.62,81.56
152.69,80.66
149.84,80.03
147.07,79.38
144.36,78.77
141.74,78.05
139.19,77.23
136.73,76.07
134.34,74.92
132.03,73.61
129.78,72.53
127.61,71.78
125.53,71.04
123.65,70.03
121.73,68.65
119.84,67.35
118,66.44
116.19,65.92
114.44,65.43
112.73,65.13
111.06,65.08
109.42,64.95
107.82,64.67
106.27,64.46
104.77,64.32
103.3,64.08
101.88,63.71
100.5,63.19
99.17,62.58
97.89,62.01
96.64,61.49
95.44,61.04
94.27,60.67
93.13,60.4
92.03,60.19
90.95,60.01
89.91,59.89
88.99,59.77
88.15,59.54
87.25,59.3
86.35,59.13
85.49,58.92
84.64,58.59
83.82,58.16
83.02,57.73
82.25,57.41
81.51,57.26
