outflow1,outflow6
47.34,47.34
47.45,47.37
47.5,47.69
47.53,48.06
47.55,48.47
47.57,48.88
47.58,49.19
47.59,49.29
47.6,49.16
47.6,48.84
47.61,48.45
47.62,48.04
47.62,47.69
47.63,47.38
47.64,47.17
47.65,47.12
47.66,47.26
47.67,47.57
47.68,48
47.69,48.44
47.7,48.75
47.71,48.89
47.71,48.93
47.72,48.98
47.73,49.04
47.73,49.13
47.74,49.23
47.75,49.33
47.75,49.44
47.76,49.52
47.77,49.49
47.78,49.28
47.8,48.89
47.81,48.35
47.83,47.77
47.84,47.26
47.86,46.96
47.88,46.92
47.89,47.13
47.91,47.58
47.93,48.22
47.94,49.02
47.96,50.05
47.97,51.5
47.98,53.51
47.99,56.08
48,59.16
48.01,62.73
48.02,66.89
48.04,71.81
48.07,77.68
48.1,84.48
48.16,92.27
48.23,101.29
48.32,111.62
48.45,123.42
48.61,136.77
48.82,152.12
49.1,170.08
49.44,190.46
49.73,212.39
50.11,235.02
50.59,257.68
51.16,280.05
51.86,302.06
52.66,323.18
53.56,343.48
54.47,363.67
55.38,382.61
56.65,399.53
60.37,414.56
64.9,427.57
75.65,437.58
88.39,444.57
104.84,449.51
121.95,451.44
140.37,450.34
158.51,446.09
176.13,439.68
194.1,430.04
210.55,418.07
225.87,406.09
240.26,392.93
253.42,378.49
264.87,362.57
274.87,346.01
283.41,329.86
290.49,314.4
296.22,297.76
300.62,281.53
303.62,266.06
305.4,252.23
306.06,239.98
305.71,227.23
304.46,214.85
302.43,203.22
299.7,192.65
296.37,183.11
292.52,173.21
288.32,162.79
283.79,154.72
278.89,148.2
273.73,143.26
268.4,137.86
262.96,133.21
257.45,129.3
251.92,125.71
246.4,121.84
240.93,118.28
235.54,115.48
230.23,112.48
225.12,110.65
220.2,109.15
215.29,108.33
210.51,106.59
205.87,104.03
201.37,101.71
197.01,99.61
192.79,97.61
188.7,95.74
184.73,94.48
180.87,93.61
177.14,92.8
173.52,91.54
170.13,90.02
166.95,88.23
163.73,86.34
160.61,85.09
157.58,84.6
154.63,83.89
151.76,82.32
148.97,80.52
146.27,78.75
143.64,77.21
141.08,75.94
138.59,75.16
136.17,74.68
133.8,74.38
131.5,73.91
129.26,73.27
127.09,72.27
125.05,71.16
123.17,69.83
121.24,68.34
119.37,67.13
117.53,66.27
115.74,65.58
114.01,64.72
112.31,63.6
110.64,62.54
109.02,61.76
107.42,61.31
105.86,60.9
104.34,60.32
102.85,59.72
101.39,59.22
99.96,58.88
98.57,58.79
97.21,58.8
95.9,58.64
94.62,58.28
93.37,57.89
92.15,57.52
90.98,57.15
89.84,56.61
88.84,55.73
87.92,54.68
86.93,53.8
85.95,53.39
