outflow01,outflow02,outflow03,outflow04,outflow05,outflow06,outflow07,outflow08,outflow09,outflow10
1463.16,1098.53,541.72,364.3,237.29,352.12,3057.43,563.74,317.51,819.94
1436.62,1054.12,543.99,363.42,240.44,359.36,3021.09,573.73,319.64,842.05
1409.94,1010.39,545.37,362.41,243.6,367.13,2979.31,583.68,321.77,864.92
1383.15,968.02,545.87,361.26,246.76,375.65,2932.5,593.6,323.9,888.55
1356.26,927.41,545.58,359.99,249.94,385.09,2881.69,603.49,326.04,912.93
1329.28,888.73,544.57,358.6,253.12,395.63,2828.35,613.36,328.19,938.05
1302.21,852.02,542.91,357.1,256.31,407.37,2773.54,623.19,330.35,963.88
1275.08,817.25,540.66,355.49,259.52,420.32,2717.89,632.98,332.52,990.43
1247.89,784.35,537.89,353.76,262.74,434.37,2661.77,642.75,334.7,1017.76
1220.66,753.22,534.63,351.87,265.97,449.36,2605.37,652.49,336.89,1045.94
1193.38,723.79,530.94,349.79,269.23,465.07,2548.82,662.19,339.1,1075.01
1166.09,695.93,526.84,347.46,272.52,481.32,2492.2,671.87,341.3,1104.99
1138.77,669.58,522.37,344.87,275.84,497.95,2435.72,681.51,343.47,1135.89
1111.45,644.62,517.55,341.99,279.21,514.8,2379.75,691.13,345.54,1167.7
1084.13,620.98,512.4,338.81,282.6,531.8,2324.55,700.71,347.48,1200.37
1056.82,598.58,506.95,335.34,286.04,548.92,2270.24,710.25,349.23,1233.89
1029.53,577.34,501.21,331.58,289.51,566.21,2216.88,719.72,350.78,1268.2
1002.26,557.19,495.21,327.6,293.06,583.74,2164.45,729.11,352.09,1303.27
975.03,538.06,488.96,323.44,296.71,601.59,2112.95,738.4,353.14,1338.81
947.84,519.9,482.47,319.16,300.35,619.82,2062.32,747.59,353.94,1373.34
920.7,502.63,475.77,314.8,304.01,638.47,2012.53,756.67,354.48,1404.49
893.62,486.23,468.87,310.39,307.7,657.58,1963.52,765.63,354.76,1430.09
866.6,470.62,461.78,305.96,311.43,677.14,1915.27,774.49,354.79,1448.72
839.65,455.77,454.51,301.53,315.2,697.16,1867.74,783.24,354.58,1459.65
812.78,441.62,447.08,297.1,319,717.64,1821.09,791.88,354.14,1462.71
785.99,428.15,439.49,292.7,322.83,738.56,1775.85,800.43,353.47,1458.07
759.29,415.31,431.76,288.45,326.7,759.9,1732.47,808.87,352.58,1446.1
732.71,403.07,423.91,284.15,330.6,781.65,1691.19,817.22,351.49,1427.27
706.44,391.41,415.95,279.87,334.53,803.78,1652.08,825.48,350.21,1402.1
680.8,380.31,407.93,275.62,338.48,826.28,1615.13,833.67,348.77,1371.1
656.04,369.7,399.88,271.44,342.47,849.12,1580.28,841.84,347.2,1335.09
632.28,359.57,391.84,267.35,346.48,872.28,1547.43,850.18,345.52,1295.8
609.59,349.9,383.82,263.35,350.51,895.74,1516.43,858.86,343.75,1254.94
587.96,340.67,375.83,259.46,354.56,919.49,1486.96,868.06,341.91,1213.69
567.38,331.84,367.88,255.68,358.62,943.5,1458.69,877.88,340.03,1172.72
547.8,323.4,359.98,252.02,362.7,967.76,1431.39,888.4,338.11,1132.43
529.19,315.33,352.13,248.48,366.79,992.25,1404.88,899.65,336.15,1093
511.49,307.61,344.34,245.05,370.89,1016.91,1379.05,911.65,334.16,1054.53
494.67,300.21,336.61,241.74,374.99,1041.37,1353.79,924.37,332.15,1017.08
478.66,293.11,328.94,238.54,379.1,1064.89,1329.07,937.73,330.13,980.85
463.42,286.51,321.36,235.44,383.22,1086.65,1304.85,951.65,328.08,946.06
448.92,280.07,313.9,232.44,387.33,1106.05,1281.2,966.05,326.02,912.83
435.11,273.85,306.61,229.53,391.46,1122.69,1258.19,980.87,323.95,881.19
421.94,267.88,299.51,226.81,395.58,1136.38,1235.9,996.05,321.87,851.14
409.39,262.14,292.62,224.11,399.73,1147.08,1214.33,1011.57,319.77,822.61
397.43,256.61,286.16,221.48,403.9,1154.84,1193.5,1027.38,317.67,795.55
386.05,251.3,279.82,218.91,408.12,1159.75,1173.37,1043.46,315.55,769.87
375.18,246.18,273.68,216.41,412.41,1161.97,1153.94,1059.8,313.43,745.51
364.8,241.26,267.75,213.98,416.8,1161.66,1135.16,1076.37,311.3,722.38
354.9,236.53,262.04,211.61,421.28,1158.99,1117,1093.15,309.17,700.41
345.44,231.97,256.54,209.31,425.87,1154.3,1099.43,1110.14,307.03,679.54
336.4,227.67,251.24,207.06,430.59,1148.01,1082.41,1127.32,304.89,659.71
327.77,223.55,246.14,204.87,435.42,1140.48,1065.88,1144.68,302.75,640.84
319.51,219.52,241.23,202.74,440.37,1131.99,1049.65,1162.15,300.62,622.89
311.61,215.63,236.5,200.66,445.44,1122.73,1033.42,1179.4,298.49,605.79
304.04,211.87,231.94,198.64,450.63,1112.83,1016.95,1195.8,296.36,589.51
296.78,208.24,227.65,196.66,455.93,1102.41,1000.06,1210.8,294.24,573.99
289.94,204.74,223.53,194.73,461.35,1091.49,982.66,1223.96,292.14,559.18
283.41,201.36,219.51,192.85,466.86,1079.97,964.71,1235.07,290.1,545.06
277.07,198.09,215.62,191.01,472.46,1067.61,946.2,1244,288.02,531.58
270.97,194.94,211.86,189.21,478.13,1054.23,927.15,1250.74,285.94,518.7
265.11,191.9,208.23,187.46,483.85,1039.72,907.58,1255.35,283.87,506.39
259.47,188.96,204.73,185.74,489.62,1024.03,887.51,1257.91,281.8,494.62
254.05,186.12,201.35,184.06,495.43,1007.17,866.98,1258.51,279.73,483.36
